Time,Commodity,Total Value ($US)
Jan-02,01 Live Animals,"4,145"
Jan-02,02 Meat And Edible Meat Offal,"4,045,497"
Jan-02,"03 Fish, Crustaceans & Aquatic Invertebrates","7,156,540"
Jan-02,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,"1,749,914"
Jan-02,"05 Products Of Animal Origin, Nesoi","2,558,117"
Jan-02,"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","65,167"
Jan-02,07 Edible Vegetables & Certain Roots & Tubers,"1,325,303"
Jan-02,08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,"7,244,610"
Jan-02,"09 Coffee, Tea, Mate & Spices","133,645"
Jan-02,10 Cereals,"4,732,967"
Jan-02,11 Milling Products; Malt; Starch; Inulin; Wht Gluten,"532,407"
Jan-02,"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc","203,303,015"
Jan-02,"13 Lac; Gums, Resins & Other Vegetable Sap & Extract","776,130"
Jan-02,14 Vegetable Plaiting Materials & Products Nesoi,"79,933"
Jan-02,"15 Animal Or Vegetable Fats, Oils Etc. & Waxes","2,749,785"
Jan-02,"16 Edible Preparations Of Meat, Fish, Crustaceans Etc","2,254,761"
Jan-02,17 Sugars And Sugar Confectionary,"1,614,487"
Jan-02,18 Cocoa And Cocoa Preparations,"125,908"
Jan-02,"19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares","482,599"
Jan-02,"20 Prep Vegetables, Fruit, Nuts Or Other Plant Parts","3,047,277"
Jan-02,21 Miscellaneous Edible Preparations,"2,374,305"
Jan-02,"22 Beverages, Spirits And Vinegar","299,381"
Jan-02,23 Food Industry Residues & Waste; Prep Animal Feed,"2,126,799"
Jan-02,25 Salt; Sulfur; Earth & Stone; Lime & Cement Plaster,"3,419,440"
Jan-02,"26 Ores, Slag And Ash","1,711,339"
Jan-02,"27 Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax","3,808,919"
Jan-02,28 Inorg Chem; Prec & Rare-earth Met & Radioact Compd,"6,960,294"
Jan-02,29 Organic Chemicals,"27,666,546"
Jan-02,30 Pharmaceutical Products,"4,783,320"
Jan-02,31 Fertilizers,"47,622,176"
Jan-02,"32 Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks","4,444,788"
Jan-02,"33 Essential Oils Etc; Perfumery, Cosmetic Etc Preps","2,584,977"
Jan-02,"34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps","3,044,392"
Jan-02,35 Albuminoidal Subst; Modified Starch; Glue; Enzymes,"2,660,510"
Jan-02,36 Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,"147,949"
Jan-02,37 Photographic Or Cinematographic Goods,"5,376,104"
Jan-02,38 Miscellaneous Chemical Products,"12,622,986"
Jan-02,39 Plastics And Articles Thereof,"55,437,043"
Jan-02,40 Rubber And Articles Thereof,"4,469,218"
Jan-02,41 Raw Hides And Skins (no Furskins) And Leather,"22,315,154"
Jan-02,42 Leather Art; Saddlery Etc; Handbags Etc; Gut Art,"565,116"
Jan-02,43 Furskins And Artificial Fur; Manufactures Thereof,"233,252"
Jan-02,44 Wood And Articles Of Wood; Wood Charcoal,"11,526,358"
Jan-02,45 Cork And Articles Of Cork,"79,971"
Jan-02,"46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk","30,023"
Jan-02,47 Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd,"29,045,007"
Jan-02,48 Paper & Paperboard & Articles (inc Papr Pulp Artl),"28,455,331"
Jan-02,"49 Printed Books, Newspapers Etc; Manuscripts Etc","3,477,047"
Jan-02,"50 Silk, Including Yarns And Woven Fabric Thereof","129,320"
Jan-02,"51 Wool & Animal Hair, Including Yarn & Woven Fabric","15,548"
Jan-02,"52 Cotton, Including Yarn And Woven Fabric Thereof","3,804,690"
Jan-02,53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,"36,407"
Jan-02,"54 Manmade Filaments, Including Yarns & Woven Fabrics","2,979,065"
Jan-02,"55 Manmade Staple Fibers, Incl Yarns & Woven Fabrics","12,533,919"
Jan-02,"56 Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.","1,972,134"
Jan-02,57 Carpets And Other Textile Floor Coverings,"319,827"
Jan-02,58 Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc,"190,035"
Jan-02,59 Impregnated Etc Text Fabrics; Tex Art For Industry,"1,529,877"
Jan-02,60 Knitted Or Crocheted Fabrics,"158,274"
Jan-02,"61 Apparel Articles And Accessories, Knit Or Crochet","149,270"
Jan-02,"62 Apparel Articles And Accessories, Not Knit Etc.","2,467,114"
Jan-02,63 Textile Art Nesoi; Needlecraft Sets; Worn Text Art,"166,271"
Jan-02,"64 Footwear, Gaiters Etc. And Parts Thereof","2,830,317"
Jan-02,65 Headgear And Parts Thereof,"36,129"
Jan-02,"66 Umbrellas, Walking-sticks, Riding-crops Etc, Parts","38,782"
Jan-02,"67 Prep Feathers, Down Etc; Artif Flowers; H Hair Art","267,252"
Jan-02,"68 Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.","2,174,092"
Jan-02,69 Ceramic Products,"4,141,388"
Jan-02,70 Glass And Glassware,"2,840,277"
Jan-02,"71 Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin","2,099,524"
Jan-02,72 Iron And Steel,"44,622,470"
Jan-02,73 Articles Of Iron Or Steel,"4,119,302"
Jan-02,74 Copper And Articles Thereof,"15,008,768"
Jan-02,75 Nickel And Articles Thereof,"1,774,270"
Jan-02,76 Aluminum And Articles Thereof,"15,718,628"
Jan-02,78 Lead And Articles Thereof,"771,286"
Jan-02,79 Zinc And Articles Thereof,"187,611"
Jan-02,80 Tin And Articles Thereof,"7,022"
Jan-02,81 Base Metals Nesoi; Cermets; Articles Thereof,"1,035,170"
Jan-02,"82 Tools, Cutlery Etc. Of Base Metal & Parts Thereof","7,061,163"
Jan-02,83 Miscellaneous Articles Of Base Metal,"2,106,737"
Jan-02,"84 Nuclear Reactors, Boilers, Machinery Etc.; Parts","270,244,627"
Jan-02,85 Electric Machinery Etc; Sound Equip; Tv Equip; Pts,"282,956,361"
Jan-02,86 Railway Or Tramway Stock Etc; Traffic Signal Equip,"634,157"
Jan-02,"87 Vehicles, Except Railway Or Tramway, And Parts Etc","14,569,091"
Jan-02,"88 Aircraft, Spacecraft, And Parts Thereof","236,599,048"
Jan-02,"89 Ships, Boats And Floating Structures","114,660"
Jan-02,"90 Optic, Photo Etc, Medic Or Surgical Instrments Etc","71,755,148"
Jan-02,91 Clocks And Watches And Parts Thereof,"109,751"
Jan-02,92 Musical Instruments; Parts And Accessories Thereof,"156,953"
Jan-02,93 Arms And Ammunition; Parts And Accessories Thereof,"65,000"
Jan-02,94 Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd,"3,613,593"
Jan-02,"95 Toys, Games & Sport Equipment; Parts & Accessories","1,745,611"
Jan-02,96 Miscellaneous Manufactured Articles,"562,092"
Jan-02,"97 Works Of Art, Collectors' Pieces And Antiques","1,425,951"
Jan-02,"98 Special Classification Provisions, Nesoi","20,199,569"
Feb-02,01 Live Animals,"1,010,311"
Feb-02,02 Meat And Edible Meat Offal,"6,431,367"
Feb-02,"03 Fish, Crustaceans & Aquatic Invertebrates","8,048,831"
Feb-02,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,"2,844,555"
Feb-02,"05 Products Of Animal Origin, Nesoi","3,265,391"
Feb-02,"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","228,867"
Feb-02,07 Edible Vegetables & Certain Roots & Tubers,"680,595"
Feb-02,08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,"3,639,906"
