"","main","print_headline","web_url","snippet","lead_paragraph","abstract","pub_date"
"1","Former World Leaders: The Trade War Threatens the World’s Economy","Why We Worry About the Trade War","https://www.nytimes.com/2019/10/11/opinion/china-trade.html","Despite an interim deal, global peace and prosperity remain at risk if the United States and China do not fully resolve their conflict.","This piece has been updated to reflect news developments.","Despite an interim deal, global peace and prosperity remain at risk if the United States and China do not fully resolve their conflict.","2019-10-11T10:00:08+0000"
"2","Stocks Slide as Evidence Mounts of Slowdown Fueled by Trade War","Stocks Tumble, Signaling Toll Of Trade War","https://www.nytimes.com/2019/10/02/business/economy/markets-world-trade.html","A recent wave of selling has ended a relatively calm stretch for stock markets.","For much of the last year, America’s trade war was the rest of the world’s problem. ","A recent wave of selling has ended a relatively calm stretch for stock markets.","2019-10-02T11:07:46+0000"
"3","How to Stop Trump’s Trade War Madness","How to Stop  Trump’s  Trade War","https://www.nytimes.com/2019/08/11/opinion/trump-china-trade.html","Congress has the authority to limit the president’s reckless endangerment of the economy.","The trade war between the United States and China spiraled out of control last week, with threats from the United States of yet more tariffs — this time on shoes, clothes and cellphones — and a hasty determination to name China a currency manipulator at least five years after it stopped doing so. ","Congress has the authority to limit the president’s reckless endangerment of the economy.","2019-08-11T23:00:04+0000"
"4","Trump’s Trade War Could Put Swiss-Size Dent in Global Economy, I.M.F. Warns","Trade War  Cost Is Size  Of Switzerland","https://www.nytimes.com/2019/10/08/us/politics/trump-trade-war-imf.html","The International Monetary Fund is the latest global organization to warn of growing economic fallout from President Trump’s trade war.","WASHINGTON — The new head of the International Monetary Fund warned on Tuesday that America’s trade war with China could cost the global economy around $700 billion by 2020 — a loss equivalent to the size of Switzerland’s entire economy.","The International Monetary Fund is the latest global organization to warn of growing economic fallout from President Trump’s trade war.","2019-10-08T16:55:44+0000"
"5","Trump Is Losing His Trade Wars","Trump  Is Losing  His Trade Wars","https://www.nytimes.com/2019/07/04/opinion/trump-trade-wars.html","The pain is real, but the coercion isn’t.","Donald Trump’s declaration that “trade wars are good, and easy to win” will surely go down in the history books as a classic utterance — but not in a good way. Instead it will go alongside Dick Cheney’s prediction, on the eve of the Iraq war, that “we will, in fact, be welcomed as liberators.” That is, it will be used to illustrate the arrogance and ignorance that so often drives crucial policy decisions.","The pain is real, but the coercion isn’t.","2019-07-05T00:06:28+0000"
"6","Trump Says China Will Suffer as Data Shows Trade War Hurting U.S.","U.S. Industry Is Declining In Trade War","https://www.nytimes.com/2019/09/03/us/politics/trump-china-trade-war.html","President Trump said Chinese supply chains “would crumble,” as a closely watched index signaled a contraction in United States factory activity for the first time since 2016.","WASHINGTON — President Trump said on Tuesday that Chinese manufacturing would “crumble” if the country did not agree to the United States’ trade terms, as newly released data showed his trade war was washing back to American shores and hurting the factories that the president has aimed to protect.","President Trump said Chinese supply chains “would crumble,” as a closely watched index signaled a contraction in United States factory activity for the first time since 2016.","2019-09-03T19:35:53+0000"
"7","Wall Street Slides on Heightened Anxiety Over the Trade War","Markets Slide on Trade War Fears","https://www.nytimes.com/2019/08/12/business/wall-street-stocks-bonds.html","The market has been riddled with worry that the fallout from a costly trade conflict will undercut an already slowing global economy and hurt corporate profits.","Stocks fell sharply on Wall Street on Monday, knocking nearly 400 points off the Dow Jones industrial average.","The market has been riddled with worry that the fallout from a costly trade conflict will undercut an already slowing global economy and hurt corporate profits.","2019-08-12T19:56:58+0000"
"8","How Trump and Xi Can Both Win Their Trade War","Trump and Xi Can Both Win The Trade War","https://www.nytimes.com/2019/08/27/opinion/trump-china.html","Each needs to step back for six months and work on a way to get to better, not perfect, or things will turn ugly fast.","It is impossible to exaggerate what a dangerous cliff the U.S. and China are perched on today.","Each needs to step back for six months and work on a way to get to better, not perfect, or things will turn ugly fast.","2019-08-27T19:13:35+0000"
"9","Timeline: Key Dates in the U.S.-China Trade War","Timeline: Key Dates in the U.S.-China Trade War","https://www.nytimes.com/reuters/2019/10/11/business/11reuters-usa-trade-china-timeline.html","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","(Reuters) - Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","2019-10-11T19:42:56+0000"
"10","Mnuchin Dismisses Data Showing Trade War Pain","Mnuchin Dismisses Data Showing Trade War Pain","https://www.nytimes.com/2019/09/09/us/politics/mnuchin-trump-trade-war.html","Economists say the Treasury secretary, whose comments dovetail with those of President Trump, is turning a blind eye to signs of a slowdown.","WASHINGTON — Treasury Secretary Steven Mnuchin said on Monday that President Trump’s tariffs on Chinese imports were having no impact on the United States economy, an assertion that was at odds with a raft of increasingly gloomy economic data and industry surveys.","Economists say the Treasury secretary, whose comments dovetail with those of President Trump, is turning a blind eye to signs of a slowdown.","2019-09-09T19:57:21+0000"
"11","Brexit Raises Stakes for Britain in Aircraft Trade War","Brexit Raises Stakes for Britain in Aircraft Trade War","https://www.nytimes.com/reuters/2019/10/03/business/03reuters-wto-aircraft-brexit-analysis.html","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs...","LONDON — U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","2019-10-03T20:30:18+0000"
"12","Brexit Raises Stakes for Britain in Aircraft Trade War","Brexit Raises Stakes for Britain in Aircraft Trade War","https://www.nytimes.com/reuters/2019/10/04/business/04reuters-wto-aircraft-brexit-analysis.html","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs...","LONDON — U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","2019-10-04T06:54:30+0000"
"13","Timeline-Key Dates in the U.S.-China Trade War","Timeline-Key Dates in the U.S.-China Trade War","https://www.nytimes.com/reuters/2019/10/10/business/10reuters-usa-trade-china-timeline.html","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","(Reuters) - Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","2019-10-10T20:54:56+0000"
"14","IMF Downgrades Outlook for World Economy, Citing Trade Wars","IMF Downgrades Outlook for World Economy, Citing Trade Wars","https://www.nytimes.com/aponline/2019/10/15/us/politics/ap-us-imf-world-economy.html","The International Monetary Fund is further downgrading its outlook for the world economy, predicting that growth this year will be the weakest since the 2008 financial crisis, primarily because of widening global conflicts.","WASHINGTON — The International Monetary Fund is further downgrading its outlook for the world economy, predicting that growth this year will be the weakest since the 2008 financial crisis, primarily because of widening global conflicts.","The International Monetary Fund is further downgrading its outlook for the world economy, predicting that growth this year will be the weakest since the 2008 financial crisis, primarily because of widening global conflicts.","2019-10-15T13:03:11+0000"
"15","Port of Los Angeles September Imports Fall as Trade War Roils Trade","Port of Los Angeles September Imports Fall as Trade War Roils Trade","https://www.nytimes.com/reuters/2019/10/11/business/10reuters-usa-trade-imports.html","The Port of Los Angeles, the busiest for ocean trade with China, processed fewer containers of imported goods in September as the prolonged U.S.-China trade war whipsaws global trade.  ","LOS ANGELES — The Port of Los Angeles, the busiest for ocean trade with China, processed fewer containers of imported goods in September as the prolonged U.S.-China trade war whipsaws global trade. ","The Port of Los Angeles, the busiest for ocean trade with China, processed fewer containers of imported goods in September as the prolonged U.S.-China trade war whipsaws global trade.  ","2019-10-11T19:48:47+0000"
