"","web_url","snippet","lead_paragraph","abstract","pub_date"
"1","https://www.nytimes.com/2019/10/11/opinion/china-trade.html","Despite an interim deal, global peace and prosperity remain at risk if the United States and China do not fully resolve their conflict.","This piece has been updated to reflect news developments.","Despite an interim deal, global peace and prosperity remain at risk if the United States and China do not fully resolve their conflict.","2019-10-11T10:00:08+0000"
"2","https://www.nytimes.com/2019/10/02/business/economy/markets-world-trade.html","A recent wave of selling has ended a relatively calm stretch for stock markets.","For much of the last year, America’s trade war was the rest of the world’s problem. ","A recent wave of selling has ended a relatively calm stretch for stock markets.","2019-10-02T11:07:46+0000"
"3","https://www.nytimes.com/2019/08/11/opinion/trump-china-trade.html","Congress has the authority to limit the president’s reckless endangerment of the economy.","The trade war between the United States and China spiraled out of control last week, with threats from the United States of yet more tariffs — this time on shoes, clothes and cellphones — and a hasty determination to name China a currency manipulator at least five years after it stopped doing so. ","Congress has the authority to limit the president’s reckless endangerment of the economy.","2019-08-11T23:00:04+0000"
"4","https://www.nytimes.com/2019/10/08/us/politics/trump-trade-war-imf.html","The International Monetary Fund is the latest global organization to warn of growing economic fallout from President Trump’s trade war.","WASHINGTON — The new head of the International Monetary Fund warned on Tuesday that America’s trade war with China could cost the global economy around $700 billion by 2020 — a loss equivalent to the size of Switzerland’s entire economy.","The International Monetary Fund is the latest global organization to warn of growing economic fallout from President Trump’s trade war.","2019-10-08T16:55:44+0000"
"5","https://www.nytimes.com/2019/07/04/opinion/trump-trade-wars.html","The pain is real, but the coercion isn’t.","Donald Trump’s declaration that “trade wars are good, and easy to win” will surely go down in the history books as a classic utterance — but not in a good way. Instead it will go alongside Dick Cheney’s prediction, on the eve of the Iraq war, that “we will, in fact, be welcomed as liberators.” That is, it will be used to illustrate the arrogance and ignorance that so often drives crucial policy decisions.","The pain is real, but the coercion isn’t.","2019-07-05T00:06:28+0000"
"6","https://www.nytimes.com/2019/09/03/us/politics/trump-china-trade-war.html","President Trump said Chinese supply chains “would crumble,” as a closely watched index signaled a contraction in United States factory activity for the first time since 2016.","WASHINGTON — President Trump said on Tuesday that Chinese manufacturing would “crumble” if the country did not agree to the United States’ trade terms, as newly released data showed his trade war was washing back to American shores and hurting the factories that the president has aimed to protect.","President Trump said Chinese supply chains “would crumble,” as a closely watched index signaled a contraction in United States factory activity for the first time since 2016.","2019-09-03T19:35:53+0000"
"7","https://www.nytimes.com/2019/08/12/business/wall-street-stocks-bonds.html","The market has been riddled with worry that the fallout from a costly trade conflict will undercut an already slowing global economy and hurt corporate profits.","Stocks fell sharply on Wall Street on Monday, knocking nearly 400 points off the Dow Jones industrial average.","The market has been riddled with worry that the fallout from a costly trade conflict will undercut an already slowing global economy and hurt corporate profits.","2019-08-12T19:56:58+0000"
"8","https://www.nytimes.com/2019/08/27/opinion/trump-china.html","Each needs to step back for six months and work on a way to get to better, not perfect, or things will turn ugly fast.","It is impossible to exaggerate what a dangerous cliff the U.S. and China are perched on today.","Each needs to step back for six months and work on a way to get to better, not perfect, or things will turn ugly fast.","2019-08-27T19:13:35+0000"
"9","https://www.nytimes.com/reuters/2019/10/11/business/11reuters-usa-trade-china-timeline.html","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","(Reuters) - Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","2019-10-11T19:42:56+0000"
"10","https://www.nytimes.com/2019/09/09/us/politics/mnuchin-trump-trade-war.html","Economists say the Treasury secretary, whose comments dovetail with those of President Trump, is turning a blind eye to signs of a slowdown.","WASHINGTON — Treasury Secretary Steven Mnuchin said on Monday that President Trump’s tariffs on Chinese imports were having no impact on the United States economy, an assertion that was at odds with a raft of increasingly gloomy economic data and industry surveys.","Economists say the Treasury secretary, whose comments dovetail with those of President Trump, is turning a blind eye to signs of a slowdown.","2019-09-09T19:57:21+0000"
"11","https://www.nytimes.com/reuters/2019/10/03/business/03reuters-wto-aircraft-brexit-analysis.html","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs...","LONDON — U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","2019-10-03T20:30:18+0000"
"12","https://www.nytimes.com/reuters/2019/10/04/business/04reuters-wto-aircraft-brexit-analysis.html","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs...","LONDON — U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","U.S. tariffs on European goods have plunged Britain into a trade war between the European Union and United States just as it plans to leave the 28-nation bloc, infuriating Scotch whisky makers and handing it a dilemma over thousands of Airbus jobs.","2019-10-04T06:54:30+0000"
"13","https://www.nytimes.com/reuters/2019/10/10/business/10reuters-usa-trade-china-timeline.html","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","(Reuters) - Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","Top U.S. and Chinese trade officials met on Thursday for the first time since late July to try to find their way out of a bitter, 15-month trade war as new irritants between the world's two largest economies threatened to dash hopes for progress.","2019-10-10T20:54:56+0000"
"14","https://www.nytimes.com/aponline/2019/10/15/us/politics/ap-us-imf-world-economy.html","The International Monetary Fund is further downgrading its outlook for the world economy, predicting that growth this year will be the weakest since the 2008 financial crisis, primarily because of widening global conflicts.","WASHINGTON — The International Monetary Fund is further downgrading its outlook for the world economy, predicting that growth this year will be the weakest since the 2008 financial crisis, primarily because of widening global conflicts.","The International Monetary Fund is further downgrading its outlook for the world economy, predicting that growth this year will be the weakest since the 2008 financial crisis, primarily because of widening global conflicts.","2019-10-15T13:03:11+0000"
"15","https://www.nytimes.com/reuters/2019/10/11/business/10reuters-usa-trade-imports.html","The Port of Los Angeles, the busiest for ocean trade with China, processed fewer containers of imported goods in September as the prolonged U.S.-China trade war whipsaws global trade.  ","LOS ANGELES — The Port of Los Angeles, the busiest for ocean trade with China, processed fewer containers of imported goods in September as the prolonged U.S.-China trade war whipsaws global trade. ","The Port of Los Angeles, the busiest for ocean trade with China, processed fewer containers of imported goods in September as the prolonged U.S.-China trade war whipsaws global trade.  ","2019-10-11T19:48:47+0000"
"16","https://www.nytimes.com/2019/08/26/opinion/letters/trump-trade-china-g7-summit-meeting.html","Readers worry that the president is putting the American and world economies in jeopardy with tariffs and orders to cut ties.","To the Editor:","Readers worry that the president is putting the American and world economies in jeopardy with tariffs and orders to cut ties.","2019-08-26T19:42:06+0000"
"17","https://www.nytimes.com/2019/08/25/business/trump-trade-war-businesses.html","After the latest escalation, a wide array of business leaders raised the alarm on the likely costs for workers and consumers.","The latest whipsawing escalations in the United States’ trade war with China prompted a wide array of business organizations to warn over the weekend that American consumers and workers would soon be caught in the crossfire.","After the latest escalation, a wide array of business leaders raised the alarm on the likely costs for workers and consumers.","2019-08-25T23:08:07+0000"
"18","https://www.nytimes.com/2019/08/28/business/trump-trade-war-australia.html","Australia’s economy is not taking a direct hit from the trade wars, but its central bank is reacting — a sign of how interlinked the world has become.","WASHINGTON — Australia’s economy is experiencing its 28th year of a record-shattering expansion, with strong employment growth and high economic potential.","Australia’s economy is not taking a direct hit from the trade wars, but its central bank is reacting — a sign of how interlinked the world has become.","2019-08-28T16:53:43+0000"
"19","https://www.nytimes.com/reuters/2019/10/12/world/asia/12reuters-india-china.html","Chinese President Xi Jinping and Indian Prime Minister Narendra Modi agreed at a summit on Saturday to set up a high-level group to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said.","MAMALLAPURAM, India, — Chinese President Xi Jinping and Indian Prime Minister Narendra Modi agreed at a summit on Saturday to set up a high-level group to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said.","Chinese President Xi Jinping and Indian Prime Minister Narendra Modi agreed at a summit on Saturday to set up a high-level group to tackle India's galloping trade deficit with the world's second-biggest economy, a top Indian diplomat said.","2019-10-12T23:09:57+0000"
"20","https://www.nytimes.com/2019/08/06/opinion/china-currency.html","The Trump administration continues to escalate its confrontation with China, but there is no clear goal — and no end in sight.","President Trump told the American people that confronting China would be quick and painless and would result in clear gains for the American economy, a philosophy summarized most famously in his Twitter boast: “Trade wars are good, and easy to win.” ","The Trump administration continues to escalate its confrontation with China, but there is no clear goal — and no end in sight.","2019-08-06T23:43:20+0000"
"21","https://www.nytimes.com/2019/08/07/business/interest-rates-india-thailand-new-zealand.html","Central banks in India, Thailand and New Zealand cut interest rates in what one analyst called “defensive action” amid fears of worsening U.S.-China tensions.","Central banks in India, Thailand and New Zealand moved to shore up their economies on Wednesday amid fears that global growth will become the biggest casualty in the spiraling trade war between the United States and China.","Central banks in India, Thailand and New Zealand cut interest rates in what one analyst called “defensive action” amid fears of worsening U.S.-China tensions.","2019-08-07T14:31:13+0000"
"22","https://www.nytimes.com/2019/08/06/world/asia/china-xi-jingping-trade.html","The Chinese leader, Xi Jinping, wants to appear strong in the face of President Trump, even if it means enduring the economic fallout.","BEIJING — China’s leader sent a strong message: the Chinese currency could be used as a weapon in the trade war.","The Chinese leader, Xi Jinping, wants to appear strong in the face of President Trump, even if it means enduring the economic fallout.","2019-08-06T16:08:54+0000"
"23","https://www.nytimes.com/reuters/2019/10/11/world/asia/10reuters-vietnam-labour.html","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labor, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","HO CHI MINH CITY/HANOI — A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labor, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labor, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","2019-10-11T23:21:43+0000"
"24","https://www.nytimes.com/reuters/2019/10/11/business/10reuters-vietnam-labour.html","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labour, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","HO CHI MINH CITY/HANOI — A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labour, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","A new front has opened in the U.S.-China trade war as companies shifting manufacturing to Vietnam engage in a fierce battle for skilled labour, aggravating an existing shortage and prompting calls for education reforms to address the problem. ","2019-10-11T17:27:52+0000"
"25","https://www.nytimes.com/2019/08/27/podcasts/the-daily/trump-china-trade-war-g7.html","As the two largest economies on earth battle over trade, the fortunes of much of the globe hang in the balance.","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher","As the two largest economies on earth battle over trade, the fortunes of much of the globe hang in the balance.","2019-08-27T10:00:05+0000"
"26","https://www.nytimes.com/2019/09/01/world/asia/trump-trade-war-china.html","The standoff is upending the relationship between the world’s two largest economies.","WASHINGTON — President Trump’s trade war with China entered new territory on Sunday as his next round of tariffs took effect, changing the rules of trade in ways that have no recent historic precedent and driving the world’s two largest economies further apart.","The standoff is upending the relationship between the world’s two largest economies.","2019-09-01T04:01:05+0000"
"27","https://www.nytimes.com/interactive/2019/business/economy/trade-war-costs.html","About $460 for the average family, according to a new economic analysis.","About $460 for the average family, according to a new economic analysis.","About $460 for the average family, according to a new economic analysis.","2019-09-01T04:01:01+0000"
"28","https://www.nytimes.com/2019/06/09/opinion/heroes-of-the-great-patriotic-trade-war.html","People can’t take America seriously anymore.","I’d like to make an important announcement to New York retailers: NEW JERSEY HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF WHITEFISH SALAD FROM OUR GREAT PATRIOT GOURMET MARKETS.","People can’t take America seriously anymore.","2019-06-09T14:51:42+0000"
"29","https://www.nytimes.com/reuters/2019/10/04/business/03reuters-forex-poll-yuan.html","The Chinese yuan will slip by year-end to deeper lows last hit against the U.S. dollar during the 2008 global financial crisis as the authorities nudge the partly managed currency down while the U.S.-China trade war rumbles on, a Reuters poll show...","BENGALURU — The Chinese yuan will slip by year-end to deeper lows last hit against the U.S. dollar during the 2008 global financial crisis as the authorities nudge the partly managed currency down while the U.S.-China trade war rumbles on, a Reuters poll showed.","The Chinese yuan will slip by year-end to deeper lows last hit against the U.S. dollar during the 2008 global financial crisis as the authorities nudge the partly managed currency down while the U.S.-China trade war rumbles on, a Reuters poll showed.","2019-10-04T05:03:46+0000"
"30","https://www.nytimes.com/2019/05/23/business/dealbook/semiconductor-stocks-trade-war.html","Shares of Qualcomm, Nvidia and other American chip makers have tumbled as the companies find themselves at the center of the dispute between the U.S. and China.","Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________","Shares of Qualcomm, Nvidia and other American chip makers have tumbled as the companies find themselves at the center of the dispute between the U.S. and China.","2019-05-23T17:48:45+0000"
"31","https://www.nytimes.com/2019/08/27/us/politics/trump-trade-war.html","Concluding a head-spinning summit, President Trump left France with a fragile consensus to seek resolution on several economic crises.","Good Tuesday morning. Here are some of the stories making news in Washington and politics today.","Concluding a head-spinning summit, President Trump left France with a fragile consensus to seek resolution on several economic crises.","2019-08-27T05:10:12+0000"
"32","https://www.nytimes.com/2019/08/26/technology/globalfoundries-tsmc-lawsuit-computer-chips.html","Globalfoundries has accused T.S.M.C., a competitor in Taiwan, of infringing on 16 patents in a suit that could also affect companies like Apple and Google.","SAN FRANCISCO — One of the biggest semiconductor makers in the United States on Monday initiated a broad legal attack on Taiwan’s dominant chip manufacturer, the latest twist in a complex geopolitical battle over electronic components that could affect big chip users like Apple and Google.","Globalfoundries has accused T.S.M.C., a competitor in Taiwan, of infringing on 16 patents in a suit that could also affect companies like Apple and Google.","2019-08-26T21:43:05+0000"
"33","https://www.nytimes.com/2019/05/16/podcasts/the-daily/trump-tariffs-china-trade-war.html","We talked to a farmer and a truck manufacturer who have supported President Trump about how his tariffs affect their businesses.","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher","We talked to a farmer and a truck manufacturer who have supported President Trump about how his tariffs affect their businesses.","2019-05-16T10:00:09+0000"
