"","X","hs4","Tariff","imposed_by","Date","effective_tariff_increase","perc_change_tariff","TIER.1.DESCRIPTION","Sector","Product.Description"
"1",1,"0101","chn16","CHN",2018-08-08,0,0,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"2",2,"0101","chn3","CHN",2018-04-02,0,0,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"3",3,"0101","chn34","CHN",2018-07-06,0,0,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"4",4,"0101","chn60b1","CHN",2018-09-24,0.0624617344527354,6.24617344527354,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"5",5,"0101","chn60b2","CHN",2019-05-13,0.0936926016791031,9.36926016791031,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"6",6,"0101","chn75b1","CHN",2019-09-01,0.0626702771407256,6.26702771407256,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"7",7,"0101","chn75b2","CHN",2019-12-15,0,0,"Live animals; animal products","Agricultural","Live horses, asses, mules and hinnies."
"8",8,"0103","chn16","CHN",2018-08-08,0,0,"Live animals; animal products","Agricultural","Live swine."
"9",9,"0103","chn3","CHN",2018-04-02,0,0,"Live animals; animal products","Agricultural","Live swine."
"10",10,"0103","chn34","CHN",2018-07-06,0,0,"Live animals; animal products","Agricultural","Live swine."
"11",11,"0103","chn60b1","CHN",2018-09-24,0,0,"Live animals; animal products","Agricultural","Live swine."
"12",12,"0103","chn60b2","CHN",2019-05-13,0,0,"Live animals; animal products","Agricultural","Live swine."
"13",13,"0103","chn75b1","CHN",2019-09-01,0,0,"Live animals; animal products","Agricultural","Live swine."
"14",14,"0103","chn75b2","CHN",2019-12-15,0,0,"Live animals; animal products","Agricultural","Live swine."
"15",15,"0105","chn16","CHN",2018-08-08,0,0,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"16",16,"0105","chn3","CHN",2018-04-02,0,0,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"17",17,"0105","chn34","CHN",2018-07-06,0,0,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"18",18,"0105","chn60b1","CHN",2018-09-24,0,0,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"19",19,"0105","chn60b2","CHN",2019-05-13,0,0,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"20",20,"0105","chn75b1","CHN",2019-09-01,0.05,5,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"21",21,"0105","chn75b2","CHN",2019-12-15,0,0,"Live animals; animal products","Agricultural","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
"22",22,"0106","chn16","CHN",2018-08-08,0,0,"Live animals; animal products","Agricultural","Other live animals."
"23",23,"0106","chn3","CHN",2018-04-02,0,0,"Live animals; animal products","Agricultural","Other live animals."
"24",24,"0106","chn34","CHN",2018-07-06,0,0,"Live animals; animal products","Agricultural","Other live animals."
"25",25,"0106","chn60b1","CHN",2018-09-24,0.0503221934424158,5.03221934424158,"Live animals; animal products","Agricultural","Other live animals."
"26",26,"0106","chn60b2","CHN",2019-05-13,0.0506443868848316,5.06443868848316,"Live animals; animal products","Agricultural","Other live animals."
"27",27,"0106","chn75b1","CHN",2019-09-01,0.05,5,"Live animals; animal products","Agricultural","Other live animals."
"28",28,"0106","chn75b2","CHN",2019-12-15,0,0,"Live animals; animal products","Agricultural","Other live animals."
"29",29,"0202","chn16","CHN",2018-08-08,0,0,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"30",30,"0202","chn3","CHN",2018-04-02,0,0,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"31",31,"0202","chn34","CHN",2018-07-06,0.25,25,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"32",32,"0202","chn60b1","CHN",2018-09-24,0,0,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"33",33,"0202","chn60b2","CHN",2019-05-13,0,0,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"34",34,"0202","chn75b1","CHN",2019-09-01,0.1,10,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"35",35,"0202","chn75b2","CHN",2019-12-15,0,0,"Meat and edible meat offal","Agricultural","Meat of bovine animals, frozen."
"36",36,"0203","chn16","CHN",2018-08-08,0,0,"Meat and edible meat offal","Agricultural","Meat of swine, fresh, chilled or frozen."
"37",37,"0203","chn3","CHN",2018-04-02,0.249506120682288,24.9506120682288,"Meat and edible meat offal","Agricultural","Meat of swine, fresh, chilled or frozen."
"38",38,"0203","chn34","CHN",2018-07-06,0.25,25,"Meat and edible meat offal","Agricultural","Meat of swine, fresh, chilled or frozen."
"39",39,"0203","chn60b1","CHN",2018-09-24,0,0,"Meat and edible meat offal","Agricultural","Meat of swine, fresh, chilled or frozen."
