"","X","hs4","Tariff","imposed_by","Date","effective_tariff_increase","perc_change_tariff","effective_tariff"
"1",1,"0101","chn16","CHN",2018-08-08,0,0,0
"2",2,"0101","chn3","CHN",2018-04-02,0,0,0
"3",3,"0101","chn34","CHN",2018-07-06,0,0,0
"4",4,"0101","chn60b1","CHN",2018-09-24,0.0624617344527354,6.24617344527354,0.0624617344527354
"5",5,"0101","chn60b2","CHN",2019-05-13,0.0936926016791031,9.36926016791031,0.156154336131838
"6",6,"0101","chn75b1","CHN",2019-09-01,0.0626702771407256,6.26702771407256,0.218824613272564
"7",7,"0101","chn75b2","CHN",2019-12-15,0,0,0.218824613272564
"8",8,"0103","chn16","CHN",2018-08-08,0,0,0
"9",9,"0103","chn3","CHN",2018-04-02,0,0,0
"10",10,"0103","chn34","CHN",2018-07-06,0,0,0
"11",11,"0103","chn60b1","CHN",2018-09-24,0,0,0
"12",12,"0103","chn60b2","CHN",2019-05-13,0,0,0
"13",13,"0103","chn75b1","CHN",2019-09-01,0,0,0
"14",14,"0103","chn75b2","CHN",2019-12-15,0,0,0
"15",15,"0105","chn16","CHN",2018-08-08,0,0,0
"16",16,"0105","chn3","CHN",2018-04-02,0,0,0
"17",17,"0105","chn34","CHN",2018-07-06,0,0,0
"18",18,"0105","chn60b1","CHN",2018-09-24,0,0,0
"19",19,"0105","chn60b2","CHN",2019-05-13,0,0,0
"20",20,"0105","chn75b1","CHN",2019-09-01,0.05,5,0.05
"21",21,"0105","chn75b2","CHN",2019-12-15,0,0,0.05
"22",22,"0106","chn16","CHN",2018-08-08,0,0,0
"23",23,"0106","chn3","CHN",2018-04-02,0,0,0
"24",24,"0106","chn34","CHN",2018-07-06,0,0,0
"25",25,"0106","chn60b1","CHN",2018-09-24,0.0503221934424158,5.03221934424158,0.0503221934424158
"26",26,"0106","chn60b2","CHN",2019-05-13,0.0506443868848316,5.06443868848316,0.100966580327247
"27",27,"0106","chn75b1","CHN",2019-09-01,0.05,5,0.150966580327247
"28",28,"0106","chn75b2","CHN",2019-12-15,0,0,0.150966580327247
