hs6,description,GTAP_Code,GTAP_commodity,commodity_name
10110,(2002-) Purebred breeding animals,9,CTL ," Bovine cattle, sheep and goats, horses"
10111,(-2001) Horses :-- Pure-bred breeding animals,9,CTL ," Bovine cattle, sheep and goats, horses"
10119,(-2001) Horses :-- Other,9,CTL ," Bovine cattle, sheep and goats, horses"
10120,"(-2001) Asses, mules and hinnies",9,CTL ," Bovine cattle, sheep and goats, horses"
10190,(2002-) Other,9,CTL ," Bovine cattle, sheep and goats, horses"
10210,Purebred breeding animals,9,CTL ," Bovine cattle, sheep and goats, horses"
10290,Other,9,CTL ," Bovine cattle, sheep and goats, horses"
10310,Purebred breeding animals,10,OAP , Animal products n.e.c.
10391,Weighing less than 50 kg,10,OAP , Animal products n.e.c.
10392,Weighing 50 kg or more,10,OAP , Animal products n.e.c.
10410,Sheep,9,CTL ," Bovine cattle, sheep and goats, horses"
10420,Goats,9,CTL ," Bovine cattle, sheep and goats, horses"
10511,Fowls of the species Gallus domesticus,10,OAP , Animal products n.e.c.
10512,(1996-) Turkeys,10,OAP , Animal products n.e.c.
10519,Other,10,OAP , Animal products n.e.c.
10591,(-1995) Live fowls of species Gallus domesticus (c,10,OAP , Animal products n.e.c.
10592,"(1996-2006) Fowls of the species Gallus domesticus, weighing not more than 2,000 g",10,OAP , Animal products n.e.c.
10593,"(1996-2006) Fowls of the species Gallus domesticus, weighing more than 2,000 g",10,OAP , Animal products n.e.c.
10599,Other,10,OAP , Animal products n.e.c.
10600,(-2001) Other live animals.,10,OAP , Animal products n.e.c.
10611,(2002-) Primates,10,OAP , Animal products n.e.c.
10612,"(2002-) Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",10,OAP , Animal products n.e.c.
10619,(2002-) Other,10,OAP , Animal products n.e.c.
10620,(2002-) Reptiles (including snakes and turtles),10,OAP , Animal products n.e.c.
10631,(2002-) Birds of prey,10,OAP , Animal products n.e.c.
10632,"(2002-) Psittaciformes (including parrots, parakeets, macaws and cockatoos)",10,OAP , Animal products n.e.c.
10639,(2002-) Other,10,OAP , Animal products n.e.c.
10690,(2002-) Other,10,OAP , Animal products n.e.c.
20110,Carcasses and halfcarcasses,19,CMT , Bovine meat prods
20120,Other cuts with bone in,19,CMT , Bovine meat prods
20130,Boneless,19,CMT , Bovine meat prods
20210,Carcasses and halfcarcasses,19,CMT , Bovine meat prods
20220,Other cuts with bone in,19,CMT , Bovine meat prods
20230,Boneless,19,CMT , Bovine meat prods
20311,Carcasses and halfcarcasses,20,OMT , Meat products n.e.c.
20312,"Hams, shoulders and cuts thereof, with bone in",20,OMT , Meat products n.e.c.
20319,Other,20,OMT , Meat products n.e.c.
20321,Carcasses and halfcarcasses,20,OMT , Meat products n.e.c.
20322,"Hams, shoulders and cuts thereof, with bone in",20,OMT , Meat products n.e.c.
20329,Other,20,OMT , Meat products n.e.c.
20410,"Carcasses and halfcarcasses of lamb, fresh or chilled",19,CMT , Bovine meat prods
20421,Carcasses and halfcarcasses,19,CMT , Bovine meat prods
20422,Other cuts with bone in,19,CMT , Bovine meat prods
20423,Boneless,19,CMT , Bovine meat prods
20430,"Carcasses and halfcarcasses of lamb, frozen",19,CMT , Bovine meat prods
20441,Carcasses and halfcarcasses,19,CMT , Bovine meat prods
20442,Other cuts with bone in,19,CMT , Bovine meat prods
20443,Boneless,19,CMT , Bovine meat prods
20450,Meat of goats,19,CMT , Bovine meat prods
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",19,CMT , Bovine meat prods
20610,"Of bovine animals, fresh or chilled",19,CMT , Bovine meat prods
20621,Tongues,19,CMT , Bovine meat prods
20622,Livers,19,CMT , Bovine meat prods
20629,Other,19,CMT , Bovine meat prods
20630,"Of swine, fresh or chilled",19,CMT , Bovine meat prods
20641,Livers,19,OMT , Bovine meat prods
20649,Other,19,OMT , Bovine meat prods
20680,"Other, fresh or chilled",19,CMT , Bovine meat prods
20690,"Other, frozen",19,CMT , Bovine meat prods
20710,(-1995) Fresh or chilled whole poultry,20,OMT , Meat products n.e.c.
