Date,Type,Imports
2002,All Commodities,"125,192,465,050"
Jan-02,All Commodities,"8,415,367,841"
Feb-02,All Commodities,"8,020,777,205"
Mar-02,All Commodities,"7,258,960,636"
Apr-02,All Commodities,"9,097,558,923"
May-02,All Commodities,"9,846,936,450"
Jun-02,All Commodities,"10,727,167,377"
Jul-02,All Commodities,"11,213,218,893"
Aug-02,All Commodities,"12,671,426,112"
Sep-02,All Commodities,"12,291,521,159"
Oct-02,All Commodities,"11,454,954,633"
Nov-02,All Commodities,"12,569,584,811"
Dec-02,All Commodities,"11,624,991,010"
2003,All Commodities,"152,436,096,898"
Jan-03,All Commodities,"11,403,497,575"
Feb-03,All Commodities,"9,629,627,110"
Mar-03,All Commodities,"10,110,044,562"
Apr-03,All Commodities,"11,521,852,382"
May-03,All Commodities,"11,884,701,493"
Jun-03,All Commodities,"12,127,301,429"
Jul-03,All Commodities,"13,438,635,090"
Aug-03,All Commodities,"13,764,867,008"
Sep-03,All Commodities,"14,747,525,418"
Oct-03,All Commodities,"16,458,317,607"
Nov-03,All Commodities,"14,156,947,961"
Dec-03,All Commodities,"13,192,779,263"
2004,All Commodities,"196,682,033,935"
Jan-04,All Commodities,"14,089,015,496"
Feb-04,All Commodities,"11,267,147,675"
Mar-04,All Commodities,"13,800,119,971"
Apr-04,All Commodities,"14,744,784,150"
May-04,All Commodities,"15,067,110,923"
Jun-04,All Commodities,"16,887,762,591"
Jul-04,All Commodities,"17,562,099,879"
Aug-04,All Commodities,"18,067,867,052"
Sep-04,All Commodities,"18,386,945,745"
Oct-04,All Commodities,"19,718,157,481"
Nov-04,All Commodities,"19,678,992,143"
Dec-04,All Commodities,"17,412,030,829"
2005,All Commodities,"243,470,104,795"
Jan-05,All Commodities,"17,885,840,610"
Feb-05,All Commodities,"16,937,594,812"
Mar-05,All Commodities,"16,184,944,952"
Apr-05,All Commodities,"18,148,458,160"
May-05,All Commodities,"19,053,186,880"
Jun-05,All Commodities,"20,976,701,857"
Jul-05,All Commodities,"21,272,669,460"
Aug-05,All Commodities,"22,421,292,348"
Sep-05,All Commodities,"23,294,481,679"
Oct-05,All Commodities,"24,382,852,726"
Nov-05,All Commodities,"22,426,128,316"
Dec-05,All Commodities,"20,485,952,995"
2006,All Commodities,"287,774,352,612"
Jan-06,All Commodities,"21,382,505,907"
Feb-06,All Commodities,"17,905,353,467"
Mar-06,All Commodities,"20,531,258,330"
Apr-06,All Commodities,"21,459,069,933"
May-06,All Commodities,"22,317,635,131"
Jun-06,All Commodities,"23,989,699,396"
Jul-06,All Commodities,"24,632,010,765"
Aug-06,All Commodities,"26,713,335,235"
Sep-06,All Commodities,"27,570,617,915"
Oct-06,All Commodities,"29,388,601,739"
Nov-06,All Commodities,"27,775,079,221"
Dec-06,All Commodities,"24,109,185,573"
2007,All Commodities,"321,442,866,934"
Jan-07,All Commodities,"25,640,562,672"
Feb-07,All Commodities,"23,038,880,362"
Mar-07,All Commodities,"22,723,044,235"
Apr-07,All Commodities,"24,241,522,773"
May-07,All Commodities,"25,290,574,442"
Jun-07,All Commodities,"27,070,961,198"
Jul-07,All Commodities,"28,601,170,814"
Aug-07,All Commodities,"28,424,501,435"
Sep-07,All Commodities,"29,418,962,530"
Oct-07,All Commodities,"31,555,406,402"
Nov-07,All Commodities,"29,780,718,791"
Dec-07,All Commodities,"25,656,561,280"
2008,All Commodities,"337,772,627,823"
Jan-08,All Commodities,"26,193,032,145"
Feb-08,All Commodities,"24,095,886,455"
Mar-08,All Commodities,"22,440,241,770"
Apr-08,All Commodities,"25,951,666,996"
May-08,All Commodities,"27,634,532,443"
Jun-08,All Commodities,"27,930,640,534"
Jul-08,All Commodities,"31,247,270,669"
Aug-08,All Commodities,"31,823,697,889"
Sep-08,All Commodities,"33,078,730,631"
Oct-08,All Commodities,"34,032,388,283"
Nov-08,All Commodities,"28,265,025,030"
Dec-08,All Commodities,"25,079,514,978"
2009,All Commodities,"296,373,883,488"
Jan-09,All Commodities,"24,743,457,402"
Feb-09,All Commodities,"18,845,495,210"
Mar-09,All Commodities,"21,224,713,513"
Apr-09,All Commodities,"21,920,595,248"
May-09,All Commodities,"22,734,147,846"
Jun-09,All Commodities,"23,972,774,237"
Jul-09,All Commodities,"25,671,084,409"
Aug-09,All Commodities,"25,798,119,656"
