"","hs6","Tariff","tarrif_increase","date","imposed_by"
"1",10121,"chn3",0,20180402,"CHN"
"2",10129,"chn3",0,20180402,"CHN"
"3",10130,"chn3",0,20180402,"CHN"
"4",10190,"chn3",0,20180402,"CHN"
"5",10221,"chn3",0,20180402,"CHN"
"6",10229,"chn3",0,20180402,"CHN"
"7",10231,"chn3",0,20180402,"CHN"
"8",10239,"chn3",0,20180402,"CHN"
"9",10290,"chn3",0,20180402,"CHN"
"10",10310,"chn3",0,20180402,"CHN"
"11",10391,"chn3",0,20180402,"CHN"
"12",10392,"chn3",0,20180402,"CHN"
"13",10410,"chn3",0,20180402,"CHN"
"14",10420,"chn3",0,20180402,"CHN"
"15",10511,"chn3",0,20180402,"CHN"
"16",10512,"chn3",0,20180402,"CHN"
"17",10513,"chn3",0,20180402,"CHN"
"18",10514,"chn3",0,20180402,"CHN"
"19",10515,"chn3",0,20180402,"CHN"
"20",10594,"chn3",0,20180402,"CHN"
"21",10599,"chn3",0,20180402,"CHN"
"22",10611,"chn3",0,20180402,"CHN"
"23",10612,"chn3",0,20180402,"CHN"
"24",10613,"chn3",0,20180402,"CHN"
"25",10614,"chn3",0,20180402,"CHN"
"26",10619,"chn3",0,20180402,"CHN"
"27",10620,"chn3",0,20180402,"CHN"
"28",10631,"chn3",0,20180402,"CHN"
"29",10632,"chn3",0,20180402,"CHN"
"30",10633,"chn3",0,20180402,"CHN"
"31",10639,"chn3",0,20180402,"CHN"
"32",10641,"chn3",0,20180402,"CHN"
"33",10649,"chn3",0,20180402,"CHN"
"34",10690,"chn3",0,20180402,"CHN"
"35",20110,"chn3",0,20180402,"CHN"
"36",20120,"chn3",0,20180402,"CHN"
"37",20130,"chn3",0,20180402,"CHN"
"38",20210,"chn3",0,20180402,"CHN"
"39",20220,"chn3",0,20180402,"CHN"
"40",20230,"chn3",0,20180402,"CHN"
"41",20311,"chn3",0,20180402,"CHN"
"42",20312,"chn3",0.25,20180402,"CHN"
"43",20319,"chn3",0.25,20180402,"CHN"
"44",20321,"chn3",0.25,20180402,"CHN"
"45",20322,"chn3",0.25,20180402,"CHN"
"46",20329,"chn3",0.25,20180402,"CHN"
"47",20410,"chn3",0,20180402,"CHN"
"48",20421,"chn3",0,20180402,"CHN"
"49",20422,"chn3",0,20180402,"CHN"
"50",20423,"chn3",0,20180402,"CHN"
"51",20430,"chn3",0,20180402,"CHN"
"52",20441,"chn3",0,20180402,"CHN"
"53",20442,"chn3",0,20180402,"CHN"
"54",20443,"chn3",0,20180402,"CHN"
"55",20450,"chn3",0,20180402,"CHN"
"56",20500,"chn3",0,20180402,"CHN"
"57",20610,"chn3",0,20180402,"CHN"
"58",20621,"chn3",0,20180402,"CHN"
"59",20622,"chn3",0,20180402,"CHN"
"60",20629,"chn3",0,20180402,"CHN"
"61",20630,"chn3",0,20180402,"CHN"
"62",20641,"chn3",0.25,20180402,"CHN"
"63",20649,"chn3",0.25,20180402,"CHN"
"64",20680,"chn3",0,20180402,"CHN"
"65",20690,"chn3",0,20180402,"CHN"
"66",20711,"chn3",0,20180402,"CHN"
"67",20712,"chn3",0,20180402,"CHN"
"68",20713,"chn3",0,20180402,"CHN"
"69",20714,"chn3",0,20180402,"CHN"
"70",20724,"chn3",0,20180402,"CHN"
"71",20725,"chn3",0,20180402,"CHN"
"72",20726,"chn3",0,20180402,"CHN"
"73",20727,"chn3",0,20180402,"CHN"
"74",20741,"chn3",0,20180402,"CHN"
"75",20742,"chn3",0,20180402,"CHN"
"76",20743,"chn3",0,20180402,"CHN"
"77",20744,"chn3",0,20180402,"CHN"
"78",20745,"chn3",0,20180402,"CHN"
"79",20751,"chn3",0,20180402,"CHN"
"80",20752,"chn3",0,20180402,"CHN"
"81",20753,"chn3",0,20180402,"CHN"
"82",20754,"chn3",0,20180402,"CHN"
"83",20755,"chn3",0,20180402,"CHN"
"84",20760,"chn3",0,20180402,"CHN"
"85",20810,"chn3",0,20180402,"CHN"
"86",20830,"chn3",0,20180402,"CHN"
"87",20840,"chn3",0,20180402,"CHN"
"88",20850,"chn3",0,20180402,"CHN"
"89",20860,"chn3",0,20180402,"CHN"
"90",20890,"chn3",0,20180402,"CHN"
"91",20910,"chn3",0,20180402,"CHN"
"92",20990,"chn3",0,20180402,"CHN"
"93",21011,"chn3",0,20180402,"CHN"
"94",21012,"chn3",0,20180402,"CHN"
"95",21019,"chn3",0,20180402,"CHN"
"96",21020,"chn3",0,20180402,"CHN"
"97",21091,"chn3",0,20180402,"CHN"
"98",21092,"chn3",0,20180402,"CHN"
"99",21093,"chn3",0,20180402,"CHN"
"100",21099,"chn3",0,20180402,"CHN"
"101",30111,"chn3",0,20180402,"CHN"
"102",30119,"chn3",0,20180402,"CHN"
"103",30191,"chn3",0,20180402,"CHN"
"104",30192,"chn3",0,20180402,"CHN"
"105",30193,"chn3",0,20180402,"CHN"
"106",30194,"chn3",0,20180402,"CHN"
"107",30195,"chn3",0,20180402,"CHN"
"108",30199,"chn3",0,20180402,"CHN"
"109",30211,"chn3",0,20180402,"CHN"
"110",30213,"chn3",0,20180402,"CHN"
"111",30214,"chn3",0,20180402,"CHN"
"112",30219,"chn3",0,20180402,"CHN"
"113",30221,"chn3",0,20180402,"CHN"
"114",30222,"chn3",0,20180402,"CHN"
"115",30223,"chn3",0,20180402,"CHN"
"116",30224,"chn3",0,20180402,"CHN"
"117",30229,"chn3",0,20180402,"CHN"
"118",30231,"chn3",0,20180402,"CHN"
"119",30232,"chn3",0,20180402,"CHN"
"120",30233,"chn3",0,20180402,"CHN"
"121",30234,"chn3",0,20180402,"CHN"
"122",30235,"chn3",0,20180402,"CHN"
"123",30236,"chn3",0,20180402,"CHN"
"124",30239,"chn3",0,20180402,"CHN"
"125",30241,"chn3",0,20180402,"CHN"
"126",30242,"chn3",0,20180402,"CHN"
"127",30243,"chn3",0,20180402,"CHN"
"128",30244,"chn3",0,20180402,"CHN"
"129",30245,"chn3",0,20180402,"CHN"
"130",30246,"chn3",0,20180402,"CHN"
"131",30247,"chn3",0,20180402,"CHN"
"132",30249,"chn3",0,20180402,"CHN"
"133",30251,"chn3",0,20180402,"CHN"
"134",30252,"chn3",0,20180402,"CHN"
"135",30253,"chn3",0,20180402,"CHN"
"136",30254,"chn3",0,20180402,"CHN"
"137",30255,"chn3",0,20180402,"CHN"
"138",30256,"chn3",0,20180402,"CHN"
"139",30259,"chn3",0,20180402,"CHN"
"140",30271,"chn3",0,20180402,"CHN"
"141",30272,"chn3",0,20180402,"CHN"
"142",30273,"chn3",0,20180402,"CHN"
"143",30274,"chn3",0,20180402,"CHN"
"144",30279,"chn3",0,20180402,"CHN"
"145",30281,"chn3",0,20180402,"CHN"
"146",30282,"chn3",0,20180402,"CHN"
"147",30283,"chn3",0,20180402,"CHN"
"148",30284,"chn3",0,20180402,"CHN"
"149",30285,"chn3",0,20180402,"CHN"
"150",30289,"chn3",0,20180402,"CHN"
"151",30290,"chn3",0,20180402,"CHN"
"152",30291,"chn3",0,20180402,"CHN"
"153",30292,"chn3",0,20180402,"CHN"
"154",30299,"chn3",0,20180402,"CHN"
"155",30311,"chn3",0,20180402,"CHN"
"156",30312,"chn3",0,20180402,"CHN"
"157",30313,"chn3",0,20180402,"CHN"
"158",30314,"chn3",0,20180402,"CHN"
"159",30319,"chn3",0,20180402,"CHN"
"160",30323,"chn3",0,20180402,"CHN"
"161",30324,"chn3",0,20180402,"CHN"
"162",30325,"chn3",0,20180402,"CHN"
"163",30326,"chn3",0,20180402,"CHN"
"164",30329,"chn3",0,20180402,"CHN"
"165",30331,"chn3",0,20180402,"CHN"
"166",30332,"chn3",0,20180402,"CHN"
"167",30333,"chn3",0,20180402,"CHN"
"168",30334,"chn3",0,20180402,"CHN"
"169",30339,"chn3",0,20180402,"CHN"
"170",30341,"chn3",0,20180402,"CHN"
"171",30342,"chn3",0,20180402,"CHN"
"172",30343,"chn3",0,20180402,"CHN"
"173",30344,"chn3",0,20180402,"CHN"
"174",30345,"chn3",0,20180402,"CHN"
"175",30346,"chn3",0,20180402,"CHN"
"176",30349,"chn3",0,20180402,"CHN"
"177",30351,"chn3",0,20180402,"CHN"
"178",30353,"chn3",0,20180402,"CHN"
"179",30354,"chn3",0,20180402,"CHN"
"180",30355,"chn3",0,20180402,"CHN"
"181",30356,"chn3",0,20180402,"CHN"
"182",30357,"chn3",0,20180402,"CHN"
"183",30359,"chn3",0,20180402,"CHN"
"184",30363,"chn3",0,20180402,"CHN"
"185",30364,"chn3",0,20180402,"CHN"
"186",30365,"chn3",0,20180402,"CHN"
"187",30366,"chn3",0,20180402,"CHN"
"188",30367,"chn3",0,20180402,"CHN"
"189",30368,"chn3",0,20180402,"CHN"
"190",30369,"chn3",0,20180402,"CHN"
"191",30381,"chn3",0,20180402,"CHN"
"192",30382,"chn3",0,20180402,"CHN"
"193",30383,"chn3",0,20180402,"CHN"
"194",30384,"chn3",0,20180402,"CHN"
"195",30389,"chn3",0,20180402,"CHN"
"196",30390,"chn3",0,20180402,"CHN"
"197",30391,"chn3",0,20180402,"CHN"
"198",30392,"chn3",0,20180402,"CHN"
"199",30399,"chn3",0,20180402,"CHN"
"200",30431,"chn3",0,20180402,"CHN"
"201",30432,"chn3",0,20180402,"CHN"
"202",30433,"chn3",0,20180402,"CHN"
"203",30439,"chn3",0,20180402,"CHN"
"204",30441,"chn3",0,20180402,"CHN"
"205",30442,"chn3",0,20180402,"CHN"
"206",30443,"chn3",0,20180402,"CHN"
"207",30444,"chn3",0,20180402,"CHN"
