"","Month","Year","Commodity","val","Date"
"1",1,2002," Live Animals",4145,2002-01-01
"2",1,2002," Meat And Edible Meat Offal",4045497,2002-01-01
"3",1,2002," Fish, Crustaceans & Aquatic Invertebrates",7156540,2002-01-01
"4",1,2002," Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi",1749914,2002-01-01
"5",1,2002," Products Of Animal Origin, Nesoi",2558117,2002-01-01
"6",1,2002," Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",65167,2002-01-01
"7",1,2002," Edible Vegetables & Certain Roots & Tubers",1325303,2002-01-01
"8",1,2002," Edible Fruit & Nuts; Citrus Fruit Or Melon Peel",7244610,2002-01-01
"9",1,2002," Coffee, Tea, Mate & Spices",133645,2002-01-01
"10",1,2002," Cereals",4732967,2002-01-01
"11",1,2002," Milling Products; Malt; Starch; Inulin; Wht Gluten",532407,2002-01-01
"12",1,2002," Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",203303015,2002-01-01
"13",1,2002," Lac; Gums, Resins & Other Vegetable Sap & Extract",776130,2002-01-01
"14",1,2002," Vegetable Plaiting Materials & Products Nesoi",79933,2002-01-01
"15",1,2002," Animal Or Vegetable Fats, Oils Etc. & Waxes",2749785,2002-01-01
"16",1,2002," Edible Preparations Of Meat, Fish, Crustaceans Etc",2254761,2002-01-01
"17",1,2002," Sugars And Sugar Confectionary",1614487,2002-01-01
"18",1,2002," Cocoa And Cocoa Preparations",125908,2002-01-01
"19",1,2002," Prep Cereal, Flour, Starch Or Milk; Bakers Wares",482599,2002-01-01
"20",1,2002," Prep Vegetables, Fruit, Nuts Or Other Plant Parts",3047277,2002-01-01
"21",1,2002," Miscellaneous Edible Preparations",2374305,2002-01-01
"22",1,2002," Beverages, Spirits And Vinegar",299381,2002-01-01
"23",1,2002," Food Industry Residues & Waste; Prep Animal Feed",2126799,2002-01-01
"24",1,2002," Salt; Sulfur; Earth & Stone; Lime & Cement Plaster",3419440,2002-01-01
"25",1,2002," Ores, Slag And Ash",1711339,2002-01-01
"26",1,2002," Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",3808919,2002-01-01
"27",1,2002," Inorg Chem; Prec & Rare-earth Met & Radioact Compd",6960294,2002-01-01
"28",1,2002," Organic Chemicals",27666546,2002-01-01
"29",1,2002," Pharmaceutical Products",4783320,2002-01-01
"30",1,2002," Fertilizers",47622176,2002-01-01
"31",1,2002," Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks",4444788,2002-01-01
"32",1,2002," Essential Oils Etc; Perfumery, Cosmetic Etc Preps",2584977,2002-01-01
"33",1,2002," Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",3044392,2002-01-01
"34",1,2002," Albuminoidal Subst; Modified Starch; Glue; Enzymes",2660510,2002-01-01
"35",1,2002," Explosives; Pyrotechnics; Matches; Pyro Alloys Etc",147949,2002-01-01
"36",1,2002," Photographic Or Cinematographic Goods",5376104,2002-01-01
"37",1,2002," Miscellaneous Chemical Products",12622986,2002-01-01
"38",1,2002," Plastics And Articles Thereof",55437043,2002-01-01
"39",1,2002," Rubber And Articles Thereof",4469218,2002-01-01
"40",1,2002," Raw Hides And Skins (no Furskins) And Leather",22315154,2002-01-01
"41",1,2002," Leather Art; Saddlery Etc; Handbags Etc; Gut Art",565116,2002-01-01
"42",1,2002," Furskins And Artificial Fur; Manufactures Thereof",233252,2002-01-01
"43",1,2002," Wood And Articles Of Wood; Wood Charcoal",11526358,2002-01-01
"44",1,2002," Cork And Articles Of Cork",79971,2002-01-01
"45",1,2002," Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",30023,2002-01-01
"46",1,2002," Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd",29045007,2002-01-01
"47",1,2002," Paper & Paperboard & Articles (inc Papr Pulp Artl)",28455331,2002-01-01
"48",1,2002," Printed Books, Newspapers Etc; Manuscripts Etc",3477047,2002-01-01
"49",1,2002," Silk, Including Yarns And Woven Fabric Thereof",129320,2002-01-01
"50",1,2002," Wool & Animal Hair, Including Yarn & Woven Fabric",15548,2002-01-01
"51",1,2002," Cotton, Including Yarn And Woven Fabric Thereof",3804690,2002-01-01
"52",1,2002," Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab",36407,2002-01-01
"53",1,2002," Manmade Filaments, Including Yarns & Woven Fabrics",2979065,2002-01-01
"54",1,2002," Manmade Staple Fibers, Incl Yarns & Woven Fabrics",12533919,2002-01-01
"55",1,2002," Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.",1972134,2002-01-01
"56",1,2002," Carpets And Other Textile Floor Coverings",319827,2002-01-01
"57",1,2002," Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc",190035,2002-01-01
"58",1,2002," Impregnated Etc Text Fabrics; Tex Art For Industry",1529877,2002-01-01
"59",1,2002," Knitted Or Crocheted Fabrics",158274,2002-01-01
"60",1,2002," Apparel Articles And Accessories, Knit Or Crochet",149270,2002-01-01
"61",1,2002," Apparel Articles And Accessories, Not Knit Etc.",2467114,2002-01-01
"62",1,2002," Textile Art Nesoi; Needlecraft Sets; Worn Text Art",166271,2002-01-01
"63",1,2002," Footwear, Gaiters Etc. And Parts Thereof",2830317,2002-01-01
"64",1,2002," Headgear And Parts Thereof",36129,2002-01-01
"65",1,2002," Umbrellas, Walking-sticks, Riding-crops Etc, Parts",38782,2002-01-01
"66",1,2002," Prep Feathers, Down Etc; Artif Flowers; H Hair Art",267252,2002-01-01
"67",1,2002," Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.",2174092,2002-01-01
"68",1,2002," Ceramic Products",4141388,2002-01-01
"69",1,2002," Glass And Glassware",2840277,2002-01-01
"70",1,2002," Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin",2099524,2002-01-01
"71",1,2002," Iron And Steel",44622470,2002-01-01
"72",1,2002," Articles Of Iron Or Steel",4119302,2002-01-01
"73",1,2002," Copper And Articles Thereof",15008768,2002-01-01
"74",1,2002," Nickel And Articles Thereof",1774270,2002-01-01
"75",1,2002," Aluminum And Articles Thereof",15718628,2002-01-01
"76",1,2002," Lead And Articles Thereof",771286,2002-01-01
"77",1,2002," Zinc And Articles Thereof",187611,2002-01-01
"78",1,2002," Tin And Articles Thereof",7022,2002-01-01
"79",1,2002," Base Metals Nesoi; Cermets; Articles Thereof",1035170,2002-01-01
"80",1,2002," Tools, Cutlery Etc. Of Base Metal & Parts Thereof",7061163,2002-01-01
"81",1,2002," Miscellaneous Articles Of Base Metal",2106737,2002-01-01
"82",1,2002," Nuclear Reactors, Boilers, Machinery Etc.; Parts",270244627,2002-01-01
"83",1,2002," Electric Machinery Etc; Sound Equip; Tv Equip; Pts",282956361,2002-01-01
"84",1,2002," Railway Or Tramway Stock Etc; Traffic Signal Equip",634157,2002-01-01
"85",1,2002," Vehicles, Except Railway Or Tramway, And Parts Etc",14569091,2002-01-01
"86",1,2002," Aircraft, Spacecraft, And Parts Thereof",236599048,2002-01-01
"87",1,2002," Ships, Boats And Floating Structures",114660,2002-01-01
"88",1,2002," Optic, Photo Etc, Medic Or Surgical Instrments Etc",71755148,2002-01-01
"89",1,2002," Clocks And Watches And Parts Thereof",109751,2002-01-01
"90",1,2002," Musical Instruments; Parts And Accessories Thereof",156953,2002-01-01
"91",1,2002," Arms And Ammunition; Parts And Accessories Thereof",65000,2002-01-01
"92",1,2002," Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd",3613593,2002-01-01
"93",1,2002," Toys, Games & Sport Equipment; Parts & Accessories",1745611,2002-01-01
"94",1,2002," Miscellaneous Manufactured Articles",562092,2002-01-01
"95",1,2002," Works Of Art, Collectors' Pieces And Antiques",1425951,2002-01-01
"96",1,2002," Special Classification Provisions, Nesoi",20199569,2002-01-01
"97",2,2002," Live Animals",1010311,2002-02-01
"98",2,2002," Meat And Edible Meat Offal",6431367,2002-02-01
"99",2,2002," Fish, Crustaceans & Aquatic Invertebrates",8048831,2002-02-01
"100",2,2002," Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi",2844555,2002-02-01
"101",2,2002," Products Of Animal Origin, Nesoi",3265391,2002-02-01
"102",2,2002," Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",228867,2002-02-01
"103",2,2002," Edible Vegetables & Certain Roots & Tubers",680595,2002-02-01
"104",2,2002," Edible Fruit & Nuts; Citrus Fruit Or Melon Peel",3639906,2002-02-01
"105",2,2002," Coffee, Tea, Mate & Spices",47826,2002-02-01
"106",2,2002," Cereals",3365394,2002-02-01
"107",2,2002," Milling Products; Malt; Starch; Inulin; Wht Gluten",61276,2002-02-01
"108",2,2002," Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",146453864,2002-02-01
"109",2,2002," Lac; Gums, Resins & Other Vegetable Sap & Extract",767948,2002-02-01
"110",2,2002," Vegetable Plaiting Materials & Products Nesoi",388158,2002-02-01
"111",2,2002," Animal Or Vegetable Fats, Oils Etc. & Waxes",1397094,2002-02-01
"112",2,2002," Edible Preparations Of Meat, Fish, Crustaceans Etc",5128839,2002-02-01
"113",2,2002," Sugars And Sugar Confectionary",712545,2002-02-01
"114",2,2002," Cocoa And Cocoa Preparations",508649,2002-02-01
"115",2,2002," Prep Cereal, Flour, Starch Or Milk; Bakers Wares",579042,2002-02-01
"116",2,2002," Prep Vegetables, Fruit, Nuts Or Other Plant Parts",2280636,2002-02-01
"117",2,2002," Miscellaneous Edible Preparations",6238563,2002-02-01
"118",2,2002," Beverages, Spirits And Vinegar",383867,2002-02-01
"119",2,2002," Food Industry Residues & Waste; Prep Animal Feed",6437569,2002-02-01
"120",2,2002," Salt; Sulfur; Earth & Stone; Lime & Cement Plaster",4731561,2002-02-01
"121",2,2002," Ores, Slag And Ash",688245,2002-02-01
"122",2,2002," Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",3530955,2002-02-01
"123",2,2002," Inorg Chem; Prec & Rare-earth Met & Radioact Compd",6615423,2002-02-01
"124",2,2002," Organic Chemicals",46376421,2002-02-01
"125",2,2002," Pharmaceutical Products",3017697,2002-02-01
"126",2,2002," Fertilizers",59897600,2002-02-01
"127",2,2002," Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks",9442744,2002-02-01
"128",2,2002," Essential Oils Etc; Perfumery, Cosmetic Etc Preps",4082223,2002-02-01
"129",2,2002," Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",2612512,2002-02-01
"130",2,2002," Albuminoidal Subst; Modified Starch; Glue; Enzymes",2683734,2002-02-01
"131",2,2002," Explosives; Pyrotechnics; Matches; Pyro Alloys Etc",274862,2002-02-01
"132",2,2002," Photographic Or Cinematographic Goods",7452970,2002-02-01
"133",2,2002," Miscellaneous Chemical Products",17958230,2002-02-01
"134",2,2002," Plastics And Articles Thereof",72646916,2002-02-01
"135",2,2002," Rubber And Articles Thereof",6135004,2002-02-01
"136",2,2002," Raw Hides And Skins (no Furskins) And Leather",32892714,2002-02-01
"137",2,2002," Leather Art; Saddlery Etc; Handbags Etc; Gut Art",418933,2002-02-01
"138",2,2002," Furskins And Artificial Fur; Manufactures Thereof",9000,2002-02-01
"139",2,2002," Wood And Articles Of Wood; Wood Charcoal",15593669,2002-02-01
"140",2,2002," Cork And Articles Of Cork",97703,2002-02-01
"141",2,2002," Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",18144,2002-02-01
"142",2,2002," Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd",29687624,2002-02-01
"143",2,2002," Paper & Paperboard & Articles (inc Papr Pulp Artl)",36293474,2002-02-01
"144",2,2002," Printed Books, Newspapers Etc; Manuscripts Etc",2340078,2002-02-01
"145",2,2002," Silk, Including Yarns And Woven Fabric Thereof",30484,2002-02-01
"146",2,2002," Wool & Animal Hair, Including Yarn & Woven Fabric",54079,2002-02-01
"147",2,2002," Cotton, Including Yarn And Woven Fabric Thereof",2878775,2002-02-01
"148",2,2002," Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab",114919,2002-02-01
"149",2,2002," Manmade Filaments, Including Yarns & Woven Fabrics",3478669,2002-02-01
"150",2,2002," Manmade Staple Fibers, Incl Yarns & Woven Fabrics",7343609,2002-02-01
"151",2,2002," Wadding, Felt Etc; Sp Yarn; Twine, Ropes Etc.",2202468,2002-02-01
"152",2,2002," Carpets And Other Textile Floor Coverings",261868,2002-02-01
"153",2,2002," Spec Wov Fabrics; Tufted Fab; Lace; Tapestries Etc",814544,2002-02-01
"154",2,2002," Impregnated Etc Text Fabrics; Tex Art For Industry",1680590,2002-02-01
"155",2,2002," Knitted Or Crocheted Fabrics",355697,2002-02-01
"156",2,2002," Apparel Articles And Accessories, Knit Or Crochet",910391,2002-02-01
"157",2,2002," Apparel Articles And Accessories, Not Knit Etc.",2530535,2002-02-01
"158",2,2002," Textile Art Nesoi; Needlecraft Sets; Worn Text Art",439293,2002-02-01
"159",2,2002," Footwear, Gaiters Etc. And Parts Thereof",2615796,2002-02-01
"160",2,2002," Headgear And Parts Thereof",24819,2002-02-01
"161",2,2002," Prep Feathers, Down Etc; Artif Flowers; H Hair Art",47458,2002-02-01
"162",2,2002," Art Of Stone, Plaster, Cement, Asbestos, Mica Etc.",2730192,2002-02-01
"163",2,2002," Ceramic Products",2058659,2002-02-01
"164",2,2002," Glass And Glassware",4158175,2002-02-01
"165",2,2002," Nat Etc Pearls, Prec Etc Stones, Pr Met Etc; Coin",2894871,2002-02-01
"166",2,2002," Iron And Steel",35750948,2002-02-01
"167",2,2002," Articles Of Iron Or Steel",6488179,2002-02-01
"168",2,2002," Copper And Articles Thereof",20812816,2002-02-01
"169",2,2002," Nickel And Articles Thereof",1525571,2002-02-01
"170",2,2002," Aluminum And Articles Thereof",19967397,2002-02-01
"171",2,2002," Lead And Articles Thereof",620386,2002-02-01
"172",2,2002," Zinc And Articles Thereof",566928,2002-02-01
"173",2,2002," Tin And Articles Thereof",303921,2002-02-01
"174",2,2002," Base Metals Nesoi; Cermets; Articles Thereof",1671337,2002-02-01
"175",2,2002," Tools, Cutlery Etc. Of Base Metal & Parts Thereof",7257116,2002-02-01
"176",2,2002," Miscellaneous Articles Of Base Metal",1266830,2002-02-01
"177",2,2002," Nuclear Reactors, Boilers, Machinery Etc.; Parts",238891692,2002-02-01
"178",2,2002," Electric Machinery Etc; Sound Equip; Tv Equip; Pts",262759381,2002-02-01
"179",2,2002," Railway Or Tramway Stock Etc; Traffic Signal Equip",189879,2002-02-01
"180",2,2002," Vehicles, Except Railway Or Tramway, And Parts Etc",15768082,2002-02-01
"181",2,2002," Aircraft, Spacecraft, And Parts Thereof",214683301,2002-02-01
"182",2,2002," Ships, Boats And Floating Structures",180158,2002-02-01
"183",2,2002," Optic, Photo Etc, Medic Or Surgical Instrments Etc",69213674,2002-02-01
"184",2,2002," Clocks And Watches And Parts Thereof",481335,2002-02-01
"185",2,2002," Musical Instruments; Parts And Accessories Thereof",129115,2002-02-01
"186",2,2002," Arms And Ammunition; Parts And Accessories Thereof",12924,2002-02-01
"187",2,2002," Furniture; Bedding Etc; Lamps Nesoi Etc; Prefab Bd",5067112,2002-02-01
"188",2,2002," Toys, Games & Sport Equipment; Parts & Accessories",2078635,2002-02-01
"189",2,2002," Miscellaneous Manufactured Articles",536694,2002-02-01
"190",2,2002," Works Of Art, Collectors' Pieces And Antiques",2815067,2002-02-01
"191",2,2002," Special Classification Provisions, Nesoi",16428680,2002-02-01
"192",3,2002," Live Animals",1200805,2002-03-01
"193",3,2002," Meat And Edible Meat Offal",4619752,2002-03-01
"194",3,2002," Fish, Crustaceans & Aquatic Invertebrates",10290719,2002-03-01
"195",3,2002," Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi",2005017,2002-03-01
"196",3,2002," Products Of Animal Origin, Nesoi",3070881,2002-03-01
"197",3,2002," Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",245565,2002-03-01
"198",3,2002," Edible Vegetables & Certain Roots & Tubers",483572,2002-03-01
"199",3,2002," Edible Fruit & Nuts; Citrus Fruit Or Melon Peel",4509022,2002-03-01
"200",3,2002," Coffee, Tea, Mate & Spices",55438,2002-03-01
"201",3,2002," Cereals",2810084,2002-03-01
"202",3,2002," Milling Products; Malt; Starch; Inulin; Wht Gluten",84439,2002-03-01
"203",3,2002," Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",3064668,2002-03-01
"204",3,2002," Lac; Gums, Resins & Other Vegetable Sap & Extract",960723,2002-03-01
"205",3,2002," Vegetable Plaiting Materials & Products Nesoi",479287,2002-03-01
"206",3,2002," Animal Or Vegetable Fats, Oils Etc. & Waxes",2761266,2002-03-01
"207",3,2002," Edible Preparations Of Meat, Fish, Crustaceans Etc",4210098,2002-03-01
"208",3,2002," Sugars And Sugar Confectionary",1293900,2002-03-01
"209",3,2002," Cocoa And Cocoa Preparations",307513,2002-03-01
"210",3,2002," Prep Cereal, Flour, Starch Or Milk; Bakers Wares",553073,2002-03-01
"211",3,2002," Prep Vegetables, Fruit, Nuts Or Other Plant Parts",3165507,2002-03-01
"212",3,2002," Miscellaneous Edible Preparations",5066694,2002-03-01
"213",3,2002," Beverages, Spirits And Vinegar",515216,2002-03-01
"214",3,2002," Food Industry Residues & Waste; Prep Animal Feed",9627597,2002-03-01
"215",3,2002," Tobacco And Manufactured Tobacco Substitutes",45960,2002-03-01
"216",3,2002," Salt; Sulfur; Earth & Stone; Lime & Cement Plaster",4155848,2002-03-01
"217",3,2002," Ores, Slag And Ash",881380,2002-03-01
"218",3,2002," Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",2810374,2002-03-01
"219",3,2002," Inorg Chem; Prec & Rare-earth Met & Radioact Compd",10778600,2002-03-01
"220",3,2002," Organic Chemicals",46668715,2002-03-01
"221",3,2002," Pharmaceutical Products",6332188,2002-03-01
"222",3,2002," Fertilizers",16547984,2002-03-01
"223",3,2002," Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks",11448206,2002-03-01
"224",3,2002," Essential Oils Etc; Perfumery, Cosmetic Etc Preps",5074301,2002-03-01
"225",3,2002," Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",4079429,2002-03-01
"226",3,2002," Albuminoidal Subst; Modified Starch; Glue; Enzymes",3268910,2002-03-01
"227",3,2002," Explosives; Pyrotechnics; Matches; Pyro Alloys Etc",75517,2002-03-01
"228",3,2002," Photographic Or Cinematographic Goods",7148007,2002-03-01
"229",3,2002," Miscellaneous Chemical Products",22833228,2002-03-01
"230",3,2002," Plastics And Articles Thereof",74868643,2002-03-01
"231",3,2002," Rubber And Articles Thereof",6143477,2002-03-01
"232",3,2002," Raw Hides And Skins (no Furskins) And Leather",31905938,2002-03-01
"233",3,2002," Leather Art; Saddlery Etc; Handbags Etc; Gut Art",705834,2002-03-01
"234",3,2002," Furskins And Artificial Fur; Manufactures Thereof",2909922,2002-03-01
"235",3,2002," Wood And Articles Of Wood; Wood Charcoal",17801583,2002-03-01
"236",3,2002," Cork And Articles Of Cork",84873,2002-03-01
"237",3,2002," Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",20709,2002-03-01
"238",3,2002," Wood Pulp Etc; Recovd (waste & Scrap) ppr & pprbd",35099750,2002-03-01
"239",3,2002," Paper & Paperboard & Articles (inc Papr Pulp Artl)",36491029,2002-03-01
"240",3,2002," Printed Books, Newspapers Etc; Manuscripts Etc",4651524,2002-03-01
"241",3,2002," Silk, Including Yarns And Woven Fabric Thereof",38213,2002-03-01
"242",3,2002," Wool & Animal Hair, Including Yarn & Woven Fabric",6326,2002-03-01
"243",3,2002," Cotton, Including Yarn And Woven Fabric Thereof",5466849,2002-03-01
"244",3,2002," Manmade Filaments, Including Yarns & Woven Fabrics",4087823,2002-03-01
