"","number","size","Commodity","Date","value"
"1","01",2,"   Live Animals","2002","13,914,885"
"2","0101",4,"     Horses, Asses, Mules And Hinnies, Live","2002",""
"3","0102",4,"     Bovine Animals, Live","2002","1,433,750"
"4","0103",4,"     Swine, Live","2002","1,762,433"
"5","0104",4,"     Sheep And Goats, Live","2002",""
"6","0105",4,"     Chickens, Ducks, Geese, Turkeys, And Guineas, Live","2002","8,486,729"
"7","0106",4,"     Animals, Live, Nesoi","2002","2,231,973"
"8","02",2,"   Meat And Edible Meat Offal","2002","82,086,120"
"9","0201",4,"     Meat Of Bovine Animals, Fresh Or Chilled","2002","6,857,377"
"10","0202",4,"     Meat Of Bovine Animals, Frozen","2002","7,501,013"
"11","0203",4,"     Meat Of Swine (pork), Fresh, Chilled Or Frozen","2002","8,584,965"
"12","0204",4,"     Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2002",""
"13","0205",4,"     Meat Of Horses, Asses, Mules, Hinnies Fr, Chld, Fz","2002","45,600"
"14","0207",4,"     Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen","2002","45,418,664"
"15","0208",4,"     Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen","2002","48,744"
"16","0209",4,"     Pig/poultry Fat Frsh Chld Frz Salt Brine Dried Smk","2002",""
"17","03",2,"   Fish, Crustaceans & Aquatic Invertebrates","2002","114,080,186"
"18","0301",4,"     Fish, Live","2002","87,642"
"19","0302",4,"     Fish, Fresh Or Chilled (no Fillets Or Other Meat)","2002","12,303,087"
"20","0303",4,"     Fish, Frozen (no Fish Fillets Or Other Fish Meat)","2002","56,159,313"
"21","0304",4,"     Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz","2002","3,700,538"
"22","0305",4,"     Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal","2002","4,743,299"
"23","0306",4,"     Crustaceans Live Frsh Etc Smoked/cooked Flours Etc","2002","17,227,889"
