Commodity,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019
01 Live Animals,"772,193","2,735,295","575,410","513,303","412,544","891,377","886,743","1,644,213","863,735","398,464","130,824","420,284","327,512","329,329","616,546","546,138","458,238","676,112","382,819","1,017,227","902,707","498,168","555,322","89,405","158,054","1,276,680","399,593","383,439","648,357","3,625,581","2,491,004","575,443","895,481","1,674,546","255,322","4,343,015","143,060","212,766","2,591,785","1,801,743","2,785,120","1,575,352","664,085","852,566","1,336,211","1,265,884","596,400","765,054","4,526,008","4,841,377","4,220,013","6,227,081","4,678,475","512,846","280,296","594,788"
02 Meat And Edible Meat Offal,"21,369,220","15,530,367","24,437,615","29,552,939","34,011,271","29,631,284","35,187,575","31,035,825","34,644,181","29,070,241","24,487,249","26,658,601","31,493,577","37,649,648","51,369,129","54,481,396","68,625,708","61,209,690","56,318,904","41,171,673","40,696,683","45,048,219","50,061,296","46,484,627","35,303,489","44,180,344","50,423,798","47,449,412","56,976,343","49,284,597","33,152,817","35,321,748","35,959,742","41,657,019","47,571,788","44,618,537","41,999,915","44,669,451","49,058,033","51,389,220","38,194,393","30,058,255","20,694,639","19,104,251","20,810,301","19,298,646","24,354,198","31,543,206","30,882,865","33,341,301","39,339,171","47,402,735","56,703,351","78,839,774","130,612,316","117,818,696"
"03 Fish, Crustaceans & Aquatic Invertebrates","34,517,333","79,435,553","117,466,789","71,576,877","86,334,333","43,413,660","72,406,076","159,893,877","149,237,625","82,920,578","68,618,711","42,121,473","26,746,285","74,886,119","100,758,385","78,812,067","75,994,953","58,159,150","95,720,537","119,555,796","106,059,682","90,358,474","57,812,829","64,366,660","45,815,811","60,369,801","119,923,132","110,079,365","60,151,849","66,554,342","103,893,135","174,797,280","186,268,646","123,190,185","84,739,096","99,943,780","55,924,587","100,565,230","114,582,303","109,770,406","89,477,089","86,251,533","79,542,320","111,236,192","117,986,004","78,957,031","71,107,164","49,312,194","39,677,317","69,119,306","99,050,398","71,522,226","71,455,325","46,259,353","73,068,233","128,948,895"
04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,"17,280,731","21,095,657","28,286,649","33,023,011","37,718,365","28,247,642","23,302,392","23,812,074","18,220,130","21,032,019","22,138,992","19,447,315","15,221,950","18,654,652","16,598,745","17,262,001","22,176,613","22,136,513","25,343,651","23,792,145","19,730,264","24,627,696","26,594,438","33,472,452","26,867,016","34,656,307","37,964,200","34,421,173","37,958,275","34,318,527","32,822,738","35,703,795","31,884,559","35,289,841","32,270,651","33,548,705","23,061,222","30,659,361","40,917,177","42,794,232","38,837,513","31,804,783","20,321,003","19,610,708","13,341,512","16,775,755","17,528,474","18,961,732","13,609,349","14,310,232","16,893,299","14,624,053","14,084,212","16,678,402","14,340,124","11,349,177"
"05 Products Of Animal Origin, Nesoi","17,273,519","14,954,845","24,928,868","24,514,718","25,390,025","25,569,330","24,822,258","22,188,590","23,994,976","15,800,649","19,182,308","27,580,407","18,500,213","24,737,772","26,640,419","22,824,233","23,336,922","21,718,167","21,057,262","17,698,422","18,291,416","18,934,600","19,289,598","21,055,991","17,668,288","17,224,191","24,214,962","21,100,152","23,294,511","20,367,851","19,402,756","23,779,495","21,404,259","23,492,424","26,463,005","28,979,079","22,846,126","20,941,389","28,098,058","30,382,992","29,676,581","30,757,769","26,799,867","26,834,362","21,505,860","28,940,817","25,843,715","24,469,498","24,735,906","21,272,572","26,272,777","24,202,107","26,333,433","24,281,663","22,447,717","23,461,330"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","424,527","643,807","3,114,329","448,855","145,584","227,454","171,297","340,302","755,847","521,140","202,072","274,527","535,804","601,930","2,259,448","259,590","235,276","126,279","267,514","166,869","272,722","335,824","117,941","292,457","122,927","654,501","672,140","390,101","273,741","157,313","161,942","278,835","220,911","325,719","266,537","951,671","281,534","385,234","819,286","275,995","431,577","229,364","269,802","295,047","161,630","616,058","316,951","496,227","293,266","742,863","381,940","398,966","463,321","541,081","490,794","267,023"
07 Edible Vegetables & Certain Roots & Tubers,"2,898,121","9,950,706","6,389,571","3,132,642","2,699,094","2,728,093","1,752,662","4,264,906","4,491,124","4,197,207","3,483,355","3,139,140","1,397,893","1,414,605","2,698,809","2,472,634","3,203,918","2,252,876","2,373,265","12,951,147","2,687,590","2,373,828","3,213,695","3,082,340","2,962,199","2,098,511","4,459,771","3,915,518","5,119,981","8,699,020","2,919,232","4,312,594","3,258,937","2,803,686","3,043,449","3,981,271","1,946,649","2,969,961","3,123,184","4,124,911","4,152,274","2,782,271","2,010,835","1,764,766","2,688,968","2,271,629","2,035,076","4,014,730","2,625,865","2,060,740","2,247,954","2,514,125","3,292,876","2,022,545","1,759,239","2,068,448"
08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,"20,327,172","16,215,303","34,737,193","27,013,295","28,508,224","44,342,216","45,317,132","16,432,997","21,816,694","35,867,283","32,283,309","27,352,150","15,800,819","25,476,766","21,251,785","23,942,754","28,836,421","50,918,058","52,669,641","21,617,244","23,358,637","30,645,693","52,001,956","33,127,784","17,650,773","19,237,314","24,932,016","30,503,995","36,042,005","36,619,372","96,145,510","36,687,893","24,791,458","44,699,105","70,813,921","50,976,885","31,053,200","30,600,481","46,387,280","34,607,819","18,698,408","48,707,759","66,517,414","17,508,386","22,584,636","36,451,555","58,706,661","39,114,601","18,667,353","19,848,789","26,565,808","43,473,881","46,534,708","54,320,028","83,615,780","36,208,908"
"09 Coffee, Tea, Mate & Spices","1,244,172","1,594,370","947,925","732,593","1,621,606","754,793","1,836,897","1,114,857","870,437","829,654","1,299,763","855,634","876,182","974,929","2,333,270","1,129,762","2,038,977","1,282,840","1,800,340","1,258,494","1,206,217","933,175","1,895,090","1,677,891","1,515,033","2,073,017","1,568,218","1,763,317","1,901,116","2,332,860","2,136,041","1,093,587","1,770,918","1,198,834","2,658,780","2,185,423","3,294,902","2,133,456","2,511,978","2,522,646","2,324,473","1,486,125","1,940,142","1,796,822","2,096,609","2,026,903","5,225,413","1,943,973","2,485,211","1,306,566","1,168,035","2,531,710","1,691,880","1,226,012","2,142,570","1,535,932"
10 Cereals,"183,147,547","239,260,848","288,334,078","244,992,586","173,762,070","89,726,518","213,533,943","197,199,387","292,734,320","159,214,501","250,393,115","134,062,325","134,280,434","110,316,379","133,610,859","150,597,684","72,014,882","83,465,970","155,021,082","117,705,992","66,135,745","34,860,144","69,381,363","167,403,459","165,771,602","80,261,258","116,540,398","106,426,456","159,993,970","101,003,420","192,131,086","102,171,205","87,021,412","36,045,302","113,307,395","87,550,869","118,225,810","171,606,980","195,100,176","155,381,968","29,072,277","1,492,654","261,288","11,069,018","1,098,252","2,470,128","1,728,917","1,337,895","1,752,922","1,169,784","10,913,551","126,625","33,011,849","71,240,242","10,440,424","43,767,060"
